"","country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","deathsper100k","newdeathsper100k","days_since_case100","days_since_death10"
"9238","Turkey",2020-04-25,95,107773,2861,2706,106,25582,3845,79485,127.8,3.4,94.2,3.2,0.1,37,34
"9286","Uganda",2020-04-25,95,75,0,0,0,46,0,29,0.2,0,0.1,0,0,0,0
"9369","UK",2020-04-25,95,149569,4929,20381,814,774,50,128414,220.3,7.3,189.2,30,1.2,51,42
"9442","Ukraine",2020-04-25,95,8125,478,201,0,782,0,7142,18.6,1.1,16.3,0.5,0,31,27
"9448","United Arab Emirates",2020-04-25,95,9813,532,71,7,1887,127,7855,99.2,5.4,79.4,0.7,0.1,38,21
"9565","Uruguay",2020-04-25,95,596,33,14,2,370,1,212,17.2,0.9,6.1,0.4,0.1,35,6
"9610","USA",2020-04-25,95,938154,32796,53755,1806,100372,1293,784027,283.4,9.9,236.9,16.2,0.5,53,52
"9701","Uzbekistan",2020-04-25,95,1862,58,8,0,707,86,1147,5.6,0.2,3.4,0,0,28,0
"9757","Venezuela",2020-04-25,95,323,5,10,0,132,0,181,1.1,0,0.6,0,0,30,4
"9771","Vietnam",2020-04-25,95,270,0,0,0,225,5,45,0.3,0,0,0,0,34,0
"9855","West Bank and Gaza",2020-04-25,95,342,0,2,0,92,0,248,7.1,0,5.2,0,0,27,0
"9920","Western Sahara",2020-04-25,95,6,0,0,0,5,0,1,1,0,0.2,0,0,0,0
"9941","Yemen",2020-04-25,95,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"9968","Zambia",2020-04-25,95,84,0,3,0,37,0,44,0.5,0,0.2,0,0,0,0
"10004","Zimbabwe",2020-04-25,95,31,2,4,0,2,0,25,0.2,0,0.2,0,0,0,0
